Latitude (deg), Longitude (deg), Altitude (m), Distance horizontal (m), Velocity forward (m/s), Velocity lateral (m/s), Velocity down (m/s), Speed horizontal (m/s), Heading (deg), Pitch (deg), Roll (deg), Slip angle (deg), Angular rate forward (deg/s), Angular rate lateral (deg/s), Angular rate down (deg/s), Angular rate Xv (deg/s), Angular rate Yv (deg/s), Angular rate Zv (deg/s), Acceleration forward (m/s²), Acceleration lateral (m/s²), Acceleration down (m/s²), Acceleration Xv (m/s²), Acceleration Yv (m/s²), Acceleration Zv (m/s²)
42.24168033, -83.56544927, 187.766, 2893.616, 4.65, -0.01, -0.16, 4.65, 152.251, 3.175, 2.039, -0.131, -0.60, 0.58, -0.13, -0.59, 0.58, -0.18, -0.154, -0.016, -9.902, 0.395, -0.368, -9.889
42.24167298, -83.56544400, 187.798, 2894.543, 4.63, -0.02, -0.16, 4.63, 152.240, 3.273, 2.012, -0.271, 0.43, 0.93, -0.35, 0.45, 0.92, -0.35, 0.028, 0.093, -9.705, 0.582, -0.247, -9.685
42.24166567, -83.56543875, 187.836, 2895.466, 4.60, -0.02, -0.18, 4.60, 152.209, 3.244, 1.972, -0.264, 0.08, 0.03, -0.08, 0.09, 0.02, -0.08, -0.089, 0.036, -9.483, 0.447, -0.290, -9.468
42.24165840, -83.56543352, 187.871, 2896.384, 4.58, -0.03, -0.20, 4.58, 152.181, 3.275, 1.903, -0.362, -0.76, -0.43, -0.28, -0.74, -0.45, -0.31, -0.133, -0.068, -10.066, 0.442, -0.402, -10.049
42.24165117, -83.56542832, 187.908, 2897.297, 4.55, -0.02, -0.17, 4.55, 152.177, 3.260, 1.834, -0.246, -0.35, 0.64, 0.24, -0.36, 0.64, 0.20, -0.048, 0.068, -9.750, 0.506, -0.244, -9.734
42.24164398, -83.56542315, 187.943, 2898.206, 4.53, -0.03, -0.19, 4.53, 152.183, 3.209, 1.820, -0.326, 0.22, 0.07, -0.06, 0.22, 0.07, -0.05, -0.086, 0.082, -9.780, 0.462, -0.228, -9.767
42.24163683, -83.56541800, 187.979, 2899.109, 4.50, -0.02, -0.17, 4.50, 152.200, 3.159, 1.759, -0.306, -0.53, -0.13, 0.09, -0.54, -0.13, 0.06, -0.129, 0.088, -10.102, 0.428, -0.222, -10.092
42.24162971, -83.56541289, 188.013, 2900.008, 4.48, -0.03, -0.17, 4.48, 152.185, 3.111, 1.728, -0.335, 0.05, -0.33, 0.33, 0.03, -0.32, 0.34, -0.126, 0.108, -9.958, 0.415, -0.192, -9.949
42.24162263, -83.56540779, 188.045, 2900.902, 4.46, -0.03, -0.15, 4.46, 152.207, 3.054, 1.670, -0.321, 0.88, 0.27, 0.11, 0.87, 0.28, 0.15, 0.068, 0.181, -9.758, 0.587, -0.103, -9.742
42.24161555, -83.56540274, 188.076, 2901.794, 4.45, -0.02, -0.16, 4.45, 152.216, 3.011, 1.680, -0.297, -0.12, -0.48, 0.35, -0.14, -0.47, 0.36, 0.019, 0.016, -9.561, 0.521, -0.264, -9.543
42.24160849, -83.56539767, 188.104, 2902.684, 4.45, -0.03, -0.15, 4.45, 152.213, 3.032, 1.620, -0.409, -0.24, -0.31, 0.09, -0.25, -0.31, 0.09, 0.065, 0.100, -9.859, 0.586, -0.179, -9.840
42.24160142, -83.56539262, 188.133, 2903.575, 4.46, -0.02, -0.15, 4.46, 152.194, 3.045, 1.577, -0.256, -0.26, -0.14, -0.16, -0.25, -0.14, -0.17, -0.049, -0.007, -9.485, 0.455, -0.268, -9.470
